Measure Everything	4	People-Deterministic	Timeline			Page		No		../docs/
Data Driven Decisions	5	People-Deterministic	Timeline			Page		No		../docs/
Service Ownership	6	People-Deterministic	Timeline			Page		No		../docs/
Incentivise cross silo collaboration	7	People-Reactive	Timeline			Page		No		../docs/
Dedicated R9y staffing	8	People-Reactive	Timeline			Page		No		../docs/
Change Freezes	9	People-Reactive	Timeline			Page		No		../docs/
Vertical Scale is an Antipattern	10	People-Proactive	Timeline			Page		No		../docs/
SRE SWE roles introduced	11	People-Proactive	Timeline			Page		No		../docs/
Empowered R9y staff	12	People-Proactive	Timeline			Page		No		../docs/
R9y Embedded in High Level Strategy and Operations	13	People-Autonomic	Timeline			Page		No		../docs/
Advanced Cost Optimization	14	People-Autonomic	Timeline			Page		No		../docs/
Focus on prevention and near misses instead of outages	15	People-Autonomic	Timeline			Page		No		../docs/
			Timeline			Page		No		../docs/
TODO Lists	3	People-Demo	Timeline			Page		No		../docs/
Waterfall Projects/PMO	4	People-Deterministic	Timeline			Page		No		../docs/
SMART Goals	5	People-Deterministic	Timeline			Page		No		../docs/
Goals -> Objectives (OKRs)	8	People-Reactive	Timeline			Page		No		../docs/
Architecture Reviews	9	People-Reactive	Timeline			Page		No		../docs/
High Performing Staff (Promotion and Hiring)	10	People-Proactive	Timeline			Page		No		../docs/
Reactive Risk Analysis	11	People-Proactive	Timeline			Page		No		../docs/
Basic Cost Optimisation	12	People-Proactive	Timeline			Page		No		../docs/
			Timeline			Page		No		../docs/
Introducing Dedicated SREs	10	People-Proactive	Timeline			Page		No		../docs/
Toil Budgets	11	People-Proactive	Timeline			Page		No		../docs/
Decreased Reliance on 3rd party SaaS	12	People-Proactive	Timeline			Page		No		../docs/
